episode,global_step,algorithm,fading_model,hidden_dim,actor_lr,critic_lr,batch_size,exploration_noise,target_policy_noise,target_noise_clip,policy_delay,control_mode,role_switching,user_mobile,observation_mode,normalize_observations,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20_avg_R_sec_mbps,rolling100_avg_R_sec_mbps,convergence_gap20_100_mbps,critic_loss,actor_loss,replay_size
1,200,TD3PG,rician,64,0.001,0.001,64,0.2999378125,0.2,0.5,2,velocity,False,True,full,True,870.3990340772916,4.351995170386458,7.886597870481925,3.0055238759270586,4.9733622637510635,22.0,594.743624077765,1131.865266469292,3.0055238759270586,,,99.46724527502128,2.6097488517167573,0.18059153954962917,200,71.41482919602123,74.71501749317126,64.6772301279116,67.7902211896093,808.3882244822337,477.74734113522044,604.4687704626797,311.95286436247125,4.9733622637510635,4.9733622637510635,0.0,,,200
2,400,TD3PG,rician,64,0.001,0.001,64,0.2998753125,0.2,0.5,2,velocity,False,True,full,True,1083.660477338398,5.41830238669199,9.01642824645386,3.381917015301775,5.69623168887344,22.0,603.6666397642083,1110.456709015078,3.381917015301775,,,113.9246337774688,2.5517282357743762,0.1812420611044615,200,59.98979942318098,62.39677032176917,47.88488241511755,51.627430262276185,361.8894427781564,306.51775725398517,599.3854145555836,612.5544963077126,5.334796976312251,5.334796976312251,0.0,,,400
3,600,TD3PG,rician,64,0.001,0.001,64,0.29981281249999997,0.2,0.5,2,velocity,False,True,full,True,824.0828747711187,4.120414373855593,8.549312360599567,4.092323881642012,4.5877633024089075,16.0,229.61426487173088,434.0669915441251,4.092323881642012,,,91.75526604817816,2.5638038179761633,0.18110396039272034,200,47.53697338282866,77.66496147359192,22.73180800127949,71.45308372859911,514.8287130183875,450.0095149465986,228.3108891238978,403.73984869053174,5.085785751677803,5.085785751677803,0.0,,,600
4,800,TD3PG,rician,64,0.001,0.001,64,0.2997503125,0.2,0.5,2,velocity,False,True,full,True,1229.7743380714533,6.148871690357266,9.695209184819005,3.355170878518336,6.4299060901601965,24.0,469.0634641744376,932.3457545428198,3.355170878518336,,,128.59812180320395,2.578328078236421,0.18820487716157863,200,55.776981197119646,79.31985952606712,45.845760281693,71.22372431410886,220.317696110699,192.160167614162,467.85781910466346,353.46040828543414,5.421815836298402,5.421815836298402,0.0,,,800
5,1000,TD3PG,rician,64,0.001,0.001,64,0.2996878125,0.2,0.5,2,velocity,False,True,full,True,1103.7673535700897,5.518836767850448,8.800456443763577,2.828313613623084,6.022098334520485,22.0,338.18443379179024,832.1958130195343,2.828313613623084,,,120.44196669040971,2.568645746028871,0.17566957897555713,200,61.10385658047069,69.34538360233667,53.59627506054871,62.61132415276304,430.66004270708544,458.271934456904,332.46737676345555,133.37263666730524,5.541872335942818,5.541872335942818,0.0,,,1000
6,1200,TD3PG,rician,64,0.001,0.001,64,0.29962531249999996,0.2,0.5,2,velocity,False,True,full,True,1049.066561745284,5.2453328087264195,9.476588170942133,4.683571786226795,5.891131466815886,23.0,464.5719197497513,1178.6586591648347,4.683571786226795,,,117.82262933631773,5.516081241082097,0.22312100285106765,200,296.97683065152626,293.98243904642106,42.36253086600683,232.96728336422763,173.4273153086065,468.67541645576955,465.01434654280564,353.85360319320665,5.60008219108833,5.60008219108833,0.0,3.966702699661255,-8.421725273132324,1200
7,1400,TD3PG,rician,64,0.001,0.001,64,0.2995628125,0.2,0.5,2,velocity,False,True,full,True,710.3102208114268,3.551551104057134,8.163207315608398,2.463001687804343,5.700205627804049,19.0,187.3663139503085,661.3045622585934,2.463001687804343,,,114.004112556081,6.903025791625693,0.46892467948203864,200,333.8959676172098,283.95940501768206,312.256043481146,268.3466692195394,830.2917164586014,625.758326659114,189.842595196681,504.62719561822,5.614385539190574,5.614385539190574,0.0,3.164132595062256,-9.519936561584473,1400
8,1600,TD3PG,rician,64,0.001,0.001,64,0.2995003125,0.2,0.5,2,velocity,False,True,full,True,1038.1575960057967,5.190787980028984,9.440254682351537,3.0137761755102037,6.426478506841331,28.0,350.604740926153,814.8350457635959,3.0137761755102037,,,128.5295701368266,6.8328278245044025,0.4666638443835876,200,379.3304610349198,333.2943304228694,378.76797021233705,202.59561278667348,335.54334218099297,450.70803076507224,353.81181608620074,763.1551428481702,5.71589716014692,5.71589716014692,0.0,5.923669815063477,-12.842452049255371,1600
9,1800,TD3PG,rician,64,0.001,0.001,64,0.2994378125,0.2,0.5,2,velocity,False,True,full,True,962.4274181890904,4.812137090945452,8.144813827820101,1.61713697509081,6.527676852729296,24.0,592.5499990535068,1139.4370957100646,1.61713697509081,,,130.55353705458592,6.843822859440022,0.46759330361493456,200,261.1826631329444,379.51794568209334,145.3226555227612,379.04146632089964,819.3103050072353,666.8467851928402,581.3862670730196,392.99230324300265,5.806094903767184,5.806094903767184,0.0,2.529606580734253,-15.351754188537598,1800
10,2000,TD3PG,rician,64,0.001,0.001,64,0.2993753125,0.2,0.5,2,velocity,False,True,full,True,930.2182808720116,4.651091404360058,7.880490595259999,0.7584982412488296,7.121992354011169,21.0,771.8890072718162,1080.2200256806625,0.7584982412488296,,,142.43984708022342,6.91218575751956,0.46832502459785386,200,296.02003568525015,76.26595044948064,277.2264421505148,75.41047078149091,941.7089370207052,552.228375976013,771.9522768754374,361.00446372649253,5.937684648791582,5.937684648791582,0.0,7.989570617675781,-18.244953155517578,2000
